subject,version,assignmentId,trial,attribute,rating,least_preferred,most_preferred,type,rt,rt2,full_or_lex,signed_weights,original_or_followup,stamp,id
60fde71d08e32b4b5bbdfc38,ma_choice_v4_rand_real1,60fde71d08e32b4b5bbdfc38,0,Closeness to parks,24,,,wad_att_rating,4152,,,,,2022-06-27 17:07:25,51997
60fde71d08e32b4b5bbdfc38,ma_choice_v4_rand_real1,60fde71d08e32b4b5bbdfc38,8,Size of home,51,,,wad_att_rating,2955,,,,,2022-06-27 17:07:28,51999
60fde71d08e32b4b5bbdfc38,ma_choice_v4_rand_real1,60fde71d08e32b4b5bbdfc38,7,Amount of traffic,24,,,wad_att_rating,2161,,,,,2022-06-27 17:07:30,52001
60fde71d08e32b4b5bbdfc38,ma_choice_v4_rand_real1,60fde71d08e32b4b5bbdfc38,4,Size of yard,38,,,wad_att_rating,2483,,,,,2022-06-27 17:07:33,52003
60fde71d08e32b4b5bbdfc38,ma_choice_v4_rand_real1,60fde71d08e32b4b5bbdfc38,6,Quality of heat/AC system,63,,,wad_att_rating,2147,,,,,2022-06-27 17:07:35,52004
60fde71d08e32b4b5bbdfc38,ma_choice_v4_rand_real1,60fde71d08e32b4b5bbdfc38,1,Noise pollution,38,,,wad_att_rating,3125,,,,,2022-06-27 17:07:38,52007
60fde71d08e32b4b5bbdfc38,ma_choice_v4_rand_real1,60fde71d08e32b4b5bbdfc38,5,Quality of kitchen,50,,,wad_att_rating,4376,,,,,2022-06-27 17:07:42,52009
60fde71d08e32b4b5bbdfc38,ma_choice_v4_rand_real1,60fde71d08e32b4b5bbdfc38,2,Reputation of closest school,75,,,wad_att_rating,5427,,,,,2022-06-27 17:07:48,52012
60fde71d08e32b4b5bbdfc38,ma_choice_v4_rand_real1,60fde71d08e32b4b5bbdfc38,3,Year building was built,12,,,wad_att_rating,2532,,,,,2022-06-27 17:07:50,52015
60fde71d08e32b4b5bbdfc38,ma_choice_v4_rand_real1,60fde71d08e32b4b5bbdfc38,0,Reputation of closest school,1,,,ew_att_rating,10596,,,,,2022-06-27 17:08:07,52022
60fde71d08e32b4b5bbdfc38,ma_choice_v4_rand_real1,60fde71d08e32b4b5bbdfc38,0,Noise pollution,1,,,ew_att_rating,10596,,,,,2022-06-27 17:08:07,52023
60fde71d08e32b4b5bbdfc38,ma_choice_v4_rand_real1,60fde71d08e32b4b5bbdfc38,0,Quality of kitchen,1,,,ew_att_rating,10596,,,,,2022-06-27 17:08:07,52024
60fde71d08e32b4b5bbdfc38,ma_choice_v4_rand_real1,60fde71d08e32b4b5bbdfc38,0,Size of home,1,,,ew_att_rating,10596,,,,,2022-06-27 17:08:07,52025
60fde71d08e32b4b5bbdfc38,ma_choice_v4_rand_real1,60fde71d08e32b4b5bbdfc38,0,Quality of heat/AC system,1,,,ew_att_rating,10596,,,,,2022-06-27 17:08:07,52026
60fde71d08e32b4b5bbdfc38,ma_choice_v4_rand_real1,60fde71d08e32b4b5bbdfc38,0,Size of yard,1,,,ew_att_rating,10596,,,,,2022-06-27 17:08:07,52027
60fde71d08e32b4b5bbdfc38,ma_choice_v4_rand_real1,60fde71d08e32b4b5bbdfc38,0,Closeness to parks,1,,,ew_att_rating,10596,,,,,2022-06-27 17:08:07,52028
60fde71d08e32b4b5bbdfc38,ma_choice_v4_rand_real1,60fde71d08e32b4b5bbdfc38,0,Amount of traffic,1,,,ew_att_rating,10596,,,,,2022-06-27 17:08:07,52029
60fde71d08e32b4b5bbdfc38,ma_choice_v4_rand_real1,60fde71d08e32b4b5bbdfc38,0,Reputation of closest school,1,,,lex_att_rating,2001,,,,,2022-06-27 17:08:13,52032
60fde71d08e32b4b5bbdfc38,ma_choice_v4_rand_real1,60fde71d08e32b4b5bbdfc38,0,Size of yard,1,0 square feet,600 square feet,direction,7018,,,,,2022-06-27 17:11:53,52040
60fde71d08e32b4b5bbdfc38,ma_choice_v4_rand_real1,60fde71d08e32b4b5bbdfc38,0,Size of yard,1,0 square feet,150 square feet,direction,4588,,,,,2022-06-27 17:11:58,52041
60fde71d08e32b4b5bbdfc38,ma_choice_v4_rand_real1,60fde71d08e32b4b5bbdfc38,0,Size of yard,1,150 square feet,300 square feet,direction,4098,,,,,2022-06-27 17:12:02,52042
60fde71d08e32b4b5bbdfc38,ma_choice_v4_rand_real1,60fde71d08e32b4b5bbdfc38,0,Size of yard,0,300 square feet,450 square feet,direction,2652,,,,,2022-06-27 17:12:05,52043
60fde71d08e32b4b5bbdfc38,ma_choice_v4_rand_real1,60fde71d08e32b4b5bbdfc38,0,Size of yard,0,450 square feet,600 square feet,direction,2151,,,,,2022-06-27 17:12:07,52044
